term,estimate,std.error,statistic,p.value
(Intercept),1.2963809745244026,0.3705877444619321,3.4981755168581157,4.68452734967231e-4
Pclass2,-1.302363157362355,0.2699495320654732,-4.8244690309242015,1.4037672591873983e-6
Pclass3,-2.4256889772962795,0.25848632978493163,-9.384206040275032,6.339222976600914e-21
Sexfemale,2.820041579888391,0.20238101275152673,13.934318943994498,3.919210268933839e-44
Age,-0.0373830662929144,0.007862107726412484,-4.754840253247518,1.9860339290663374e-6
family,-0.2592180829961787,0.06647319746087668,-3.8995879978354213,9.635651258109534e-5
